regPA_SC_BINNER_TIMEOUT_COUNTER reg:0x22d0
regPA_SC_BINNER_PERF_CNTL_0 reg:0x22d1
regPA_SC_BINNER_PERF_CNTL_1 reg:0x22d2
regPA_SC_BINNER_PERF_CNTL_2 reg:0x22d3
regPA_SC_BINNER_PERF_CNTL_3 reg:0x22d4
regPA_SC_ENHANCE_2 reg:0x22dc
regPA_SC_FIFO_SIZE reg:0x22f3
regPA_SC_IF_FIFO_SIZE reg:0x22f5
regPA_SC_PKR_WAVE_TABLE_CNTL reg:0x22f8
regPA_UTCL1_CNTL1 reg:0x22f9
regPA_UTCL1_CNTL2 reg:0x22fa
regPA_SIDEBAND_REQUEST_DELAYS reg:0x22fb
regPA_SC_ENHANCE reg:0x22fc
regPA_SC_ENHANCE_1 reg:0x22fd
regPA_SC_DSM_CNTL reg:0x22fe
regPA_SC_TILE_STEERING_CREST_OVERRIDE reg:0x22ff
regSQ_CONFIG reg:0x2300
regSQC_CONFIG reg:0x2301
regLDS_CONFIG reg:0x2302
regSQ_RANDOM_WAVE_PRI reg:0x2303
regSQ_REG_CREDITS reg:0x2304
regSQ_FIFO_SIZES reg:0x2305
regSQ_DSM_CNTL reg:0x2306
regSQ_DSM_CNTL2 reg:0x2307
regSQ_RUNTIME_CONFIG reg:0x2308
regSQ_DEBUG_STS_GLOBAL reg:0x2309
regSH_MEM_BASES reg:0x230a
regSQ_TIMEOUT_CONFIG reg:0x230b
regSQ_TIMEOUT_STATUS reg:0x230c
regSH_MEM_CONFIG reg:0x230d
regSP_MFMA_PORTD_RD_CONFIG reg:0x230e
regSH_CAC_CONFIG reg:0x230f
regSQ_DEBUG_STS_GLOBAL2 reg:0x2310
regSQ_DEBUG_STS_GLOBAL3 reg:0x2311
regCC_GC_SHADER_RATE_CONFIG reg:0x2312
regGC_USER_SHADER_RATE_CONFIG reg:0x2313
regSQ_INTERRUPT_AUTO_MASK reg:0x2314
regSQ_INTERRUPT_MSG_CTRL reg:0x2315
regSQ_DEBUG_PERFCOUNT_TRAP reg:0x2316
regSQ_UTCL1_CNTL1 reg:0x2317
regSQ_UTCL1_CNTL2 reg:0x2318
regSQ_UTCL1_STATUS reg:0x2319
regSQ_FED_INTERRUPT_STATUS reg:0x231a
regSQ_CGTS_CONFIG reg:0x231b
regSQ_SHADER_TBA_LO reg:0x231c
regSQ_SHADER_TBA_HI reg:0x231d
regSQ_SHADER_TMA_LO reg:0x231e
regSQ_SHADER_TMA_HI reg:0x231f
regSQC_DSM_CNTL reg:0x2320
regSQC_DSM_CNTLA reg:0x2321
regSQC_DSM_CNTLB reg:0x2322
regSQC_DSM_CNTL2 reg:0x2325
regSQC_DSM_CNTL2A reg:0x2326
regSQC_DSM_CNTL2B reg:0x2327
regSQC_DSM_CNTL2E reg:0x232a
regSQC_EDC_FUE_CNTL reg:0x232b
regSQC_EDC_CNT2 reg:0x232c
regSQC_EDC_CNT3 reg:0x232d
regSQC_EDC_PARITY_CNT3 reg:0x232e
regSQ_DEBUG reg:0x2332
regSQ_PERF_SNAPSHOT_CTRL reg:0x2334
regSQ_DEBUG_FOR_INTERNAL_CTRL reg:0x2335
regSQ_REG_TIMESTAMP reg:0x2374
regSQ_CMD_TIMESTAMP reg:0x2375
regSQ_HOSTTRAP_STATUS reg:0x2376
regSQ_IND_INDEX reg:0x2378
regSQ_IND_DATA reg:0x2379
regSQ_CONFIG1 reg:0x237a
regSQ_CMD reg:0x237b
regSQ_TIME_HI reg:0x237c
regSQ_TIME_LO reg:0x237d
regSQ_DS_0 reg:0x237f
regSQ_DS_1 reg:0x237f
regSQ_EXP_0 reg:0x237f
regSQ_EXP_1 reg:0x237f
regSQ_FLAT_0 reg:0x237f
regSQ_FLAT_1 reg:0x237f
regSQ_GLBL_0 reg:0x237f
regSQ_GLBL_1 reg:0x237f
regSQ_INST reg:0x237f
regSQ_MIMG_0 reg:0x237f
regSQ_MIMG_1 reg:0x237f
regSQ_MTBUF_0 reg:0x237f
regSQ_MTBUF_1 reg:0x237f
regSQ_MUBUF_0 reg:0x237f
regSQ_MUBUF_1 reg:0x237f
regSQ_SCRATCH_0 reg:0x237f
regSQ_SCRATCH_1 reg:0x237f
regSQ_SMEM_0 reg:0x237f
regSQ_SMEM_1 reg:0x237f
regSQ_SOP1 reg:0x237f
regSQ_SOP2 reg:0x237f
regSQ_SOPC reg:0x237f
regSQ_SOPK reg:0x237f
regSQ_SOPP reg:0x237f
regSQ_VINTRP reg:0x237f
regSQ_VOP1 reg:0x237f
regSQ_VOP2 reg:0x237f
regSQ_VOP3P_0 reg:0x237f
regSQ_VOP3P_1 reg:0x237f
regSQ_VOP3P_MFMA_0 reg:0x237f
regSQ_VOP3P_MFMA_1 reg:0x237f
regSQ_VOP3_0 reg:0x237f
regSQ_VOP3_0_SDST_ENC reg:0x237f
regSQ_VOP3_1 reg:0x237f
regSQ_VOPC reg:0x237f
regSQ_VOP_DPP reg:0x237f
regSQ_VOP_SDWA reg:0x237f
regSQ_VOP_SDWA_SDST_ENC reg:0x237f
regSQ_LB_CTR_CTRL reg:0x2398
regSQ_LB_DATA0 reg:0x2399
regSQ_LB_DATA1 reg:0x239a
regSQ_LB_DATA2 reg:0x239b
regSQ_LB_DATA3 reg:0x239c
regSQ_LB_CTR_SEL reg:0x239d
regSQ_LB_CTR0_CU reg:0x239e
regSQ_LB_CTR1_CU reg:0x239f
regSQ_LB_CTR2_CU reg:0x23a0
regSQ_LB_CTR3_CU reg:0x23a1
regSQC_EDC_CNT reg:0x23a2
regSQ_EDC_SEC_CNT reg:0x23a3
regSQ_EDC_DED_CNT reg:0x23a4
regSQ_EDC_INFO reg:0x23a5
regSQ_EDC_CNT reg:0x23a6
regSQ_EDC_FUE_CNTL reg:0x23a7
regSQ_THREAD_TRACE_WORD_CMN reg:0x23b0
regSQ_THREAD_TRACE_WORD_EVENT reg:0x23b0
regSQ_THREAD_TRACE_WORD_INST reg:0x23b0
regSQ_THREAD_TRACE_WORD_INST_PC_1_OF_2 reg:0x23b0
regSQ_THREAD_TRACE_WORD_INST_USERDATA_1_OF_2 reg:0x23b0
regSQ_THREAD_TRACE_WORD_ISSUE reg:0x23b0
regSQ_THREAD_TRACE_WORD_MISC reg:0x23b0
regSQ_THREAD_TRACE_WORD_PERF_1_OF_2 reg:0x23b0
regSQ_THREAD_TRACE_WORD_REG_1_OF_2 reg:0x23b0
regSQ_THREAD_TRACE_WORD_REG_2_OF_2 reg:0x23b0
regSQ_THREAD_TRACE_WORD_REG_CS_1_OF_2 reg:0x23b0
regSQ_THREAD_TRACE_WORD_REG_CS_2_OF_2 reg:0x23b0
regSQ_THREAD_TRACE_WORD_TIMESTAMP_1_OF_2 reg:0x23b0
regSQ_THREAD_TRACE_WORD_WAVE reg:0x23b0
regSQ_THREAD_TRACE_WORD_WAVE_START reg:0x23b0
regSQ_THREAD_TRACE_WORD_INST_PC_2_OF_2 reg:0x23b1
regSQ_THREAD_TRACE_WORD_INST_USERDATA_2_OF_2 reg:0x23b1
regSQ_THREAD_TRACE_WORD_PERF_2_OF_2 reg:0x23b1
regSQ_THREAD_TRACE_WORD_TIMESTAMP_2_OF_2 reg:0x23b1
regSQ_WREXEC_EXEC_HI reg:0x23b1
regSQ_WREXEC_EXEC_LO reg:0x23b1
regSQ_BUF_RSRC_WORD0 reg:0x23c0
regSQ_BUF_RSRC_WORD1 reg:0x23c1
regSQ_BUF_RSRC_WORD2 reg:0x23c2
regSQ_BUF_RSRC_WORD3 reg:0x23c3
regSQ_IMG_RSRC_WORD0 reg:0x23c4
regSQ_IMG_RSRC_WORD1 reg:0x23c5
regSQ_IMG_RSRC_WORD2 reg:0x23c6
regSQ_IMG_RSRC_WORD3 reg:0x23c7
regSQ_IMG_RSRC_WORD4 reg:0x23c8
regSQ_IMG_RSRC_WORD5 reg:0x23c9
regSQ_IMG_RSRC_WORD6 reg:0x23ca
regSQ_IMG_RSRC_WORD7 reg:0x23cb
regSQ_IMG_SAMP_WORD0 reg:0x23cc
regSQ_IMG_SAMP_WORD1 reg:0x23cd
regSQ_IMG_SAMP_WORD2 reg:0x23ce
regSQ_IMG_SAMP_WORD3 reg:0x23cf
regSQ_FLAT_SCRATCH_WORD0 reg:0x23d0
regSQ_FLAT_SCRATCH_WORD1 reg:0x23d1
regSQ_M0_GPR_IDX_WORD reg:0x23d2
regSQC_ICACHE_UTCL1_CNTL1 reg:0x23d3
regSQC_ICACHE_UTCL1_CNTL2 reg:0x23d4
regSQC_DCACHE_UTCL1_CNTL1 reg:0x23d5
regSQC_DCACHE_UTCL1_CNTL2 reg:0x23d6
regSQC_ICACHE_UTCL1_STATUS reg:0x23d7
regSQC_DCACHE_UTCL1_STATUS reg:0x23d8
regSQC_UE_EDC_LO reg:0x23d9
regSQC_UE_EDC_HI reg:0x23da
